PF3D7_010005000	coding	hypothetical protein, conserved	Pf3D7_01_v3	3417	3854	+
PF3D7_010005100	coding	hypothetical protein, conserved	Pf3D7_01_v3	3981	4326	-
PF3D7_010005200	coding	hypothetical protein	Pf3D7_01_v3	4426	5056	+
PF3D7_010005300	coding	hypothetical protein	Pf3D7_01_v3	7609	8148	-
PF3D7_010005400	coding	hypothetical protein	Pf3D7_01_v3	8232	8914	+
PF3D7_010005500	coding	hypothetical protein, conserved	Pf3D7_01_v3	9720	11467	-
PF3D7_010005600	coding	hypothetical protein, conserved	Pf3D7_01_v3	12198	12455	-
PF3D7_010005700	coding	hypothetical protein, conserved	Pf3D7_01_v3	12740	12946	+
PF3D7_010005800	coding	hypothetical protein, conserved	Pf3D7_01_v3	15829	16251	-
PF3D7_010005900	coding	hypothetical protein, conserved	Pf3D7_01_v3	16360	16797	-
PF3D7_010006000	coding	hypothetical protein, conserved	Pf3D7_01_v3	18847	19474	-
PF3D7_010006100	coding	hypothetical protein, conserved	Pf3D7_01_v3	19575	19841	-
PF3D7_010006200	coding	hypothetical protein, conserved	Pf3D7_01_v3	19868	20242	-
PF3D7_010006300	coding	hypothetical protein, conserved	Pf3D7_01_v3	23722	24126	-
PF3D7_010006400	coding	hypothetical protein, conserved	Pf3D7_01_v3	25038	25433	+
PF3D7_010006500	coding	hypothetical protein, conserved	Pf3D7_01_v3	26562	27114	+
PF3D7_010006600	coding	erythrocyte membrane protein 1, EMP1	Pf3D7_01_v3	29510	37126	+
PF3D7_010006700	coding	rifin	Pf3D7_01_v3	38982	40207	-
PF3D7_010006800	coding	erythrocyte membrane protein 1, EMP1	Pf3D7_01_v3	42367	46507	-
PF3D7_010006900	coding	Rifin/stevor family, putative	Pf3D7_01_v3	50677	51636	+
PF3D7_010007000:pseudogene	pseudogene	rifin	Pf3D7_01_v3	53778	54785	-
PF3D7_010007100	coding	Plasmodium exported protein, unknown function	Pf3D7_01_v3	56690	56893	-
PF3D7_010007200	coding	Rifin/stevor family, putative	Pf3D7_01_v3	59772	61003	+
PF3D7_010007300	coding	Rifin/stevor family, putative	Pf3D7_01_v3	62187	63400	-
PF3D7_010007400	coding	Rifin/stevor family, putative	Pf3D7_01_v3	65817	66989	-
PF3D7_010007500	coding	Plasmodium exported protein, unknown function	Pf3D7_01_v3	69304	70417	-
PF3D7_010007600	coding	exported protein family 3	Pf3D7_01_v3	71624	72426	+
PF3D7_010007700	coding	hypothetical protein, conserved	Pf3D7_01_v3	74788	75366	+
PF3D7_010007800	coding	X-domain of DnaJ-containing, putative	Pf3D7_01_v3	75982	76248	-
PF3D7_010007900	coding	X-domain of DnaJ-containing, putative	Pf3D7_01_v3	76294	76809	-
PF3D7_010008000	coding	Duffy binding domain containing protein, putative	Pf3D7_01_v3	78456	79257	+
PF3D7_010008100	coding	acidic terminal segments, variant surface antigen of PfEMP1, putative	Pf3D7_01_v3	79490	79891	+
PF3D7_010008200	coding	rifin	Pf3D7_01_v3	81765	83106	-
PF3D7_010008300:pseudogene	pseudogene	acidic terminal segments, variant surface antigen of PfEMP1, putative	Pf3D7_01_v3	85073	85814	-
PF3D7_010008400:pseudogene	pseudogene	Rifin/stevor family, putative	Pf3D7_01_v3	87203	88003	-
PF3D7_010008500	coding	Rifin/stevor family, putative	Pf3D7_01_v3	90242	91420	-
PF3D7_010008600	coding	hypothetical protein	Pf3D7_01_v3	95316	95813	+
PF3D7_010008700	coding	ring-infected erythrocyte surface antigen 2	Pf3D7_01_v3	99445	102282	+
PF3D7_010008800	coding	Plasmodium exported protein, unknown function	Pf3D7_01_v3	104704	105209	+
PF3D7_010008900:pseudogene	pseudogene	lysophospholipase, putative	Pf3D7_01_v3	107260	108309	-
PF3D7_010009000	coding	erythrocyte binding antigen-181, putative	Pf3D7_01_v3	110750	115799	-
PF3D7_010009100	coding	serine/threonine protein kinase, FIKK family	Pf3D7_01_v3	119041	121249	-
