LDONN_000005000	coding	Protein of unknown function (DUF2946), putative	Ld01_v01s1	3662	4663	-
LDONN_000005100	coding	Endonuclease/Exonuclease/phosphatase family, putative	Ld01_v01s1	5750	7411	-
LDONN_000005200	coding	Kinesin-13 1, putative	Ld01_v01s1	9003	11024	-
LDONN_000005300	coding	hypothetical protein, conserved	Ld01_v01s1	12006	12566	-
LDONN_000005400	coding	carboxylase, putative	Ld01_v01s1	15035	17032	-
LDONN_000005500	coding	hypothetical protein, conserved	Ld01_v01s1	18188	18937	-
LDONN_000005600	coding	BSD domain containing protein, putative	Ld01_v01s1	20032	21774	-
LDONN_000005700	coding	hypothetical protein, conserved	Ld01_v01s1	22614	23327	-
LDONN_000005800	coding	Glycosyl transferase family 11, putative	Ld01_v01s1	26741	27697	-
LDONN_000005900	coding	monothiol glutaredoxin, putative	Ld01_v01s1	28797	29384	-
LDONN_000006000	coding	hypothetical protein, conserved	Ld01_v01s1	30592	32565	-
LDONN_000006100	coding	hypothetical protein, conserved	Ld01_v01s1	33853	34947	-
LDONN_000006200	coding	hypothetical protein, conserved	Ld01_v01s1	37224	37472	-
LDONN_000006300	coding	hypothetical protein, conserved	Ld01_v01s1	38409	38759	-
LDONN_000006400	coding	LSM domain containing protein, putative	Ld01_v01s1	39627	39869	-
LDONN_000006500	coding	hypothetical protein, conserved	Ld01_v01s1	42058	43431	-
LDONN_000006600	coding	CLC-type chloride channel, putative	Ld01_v01s1	44862	47174	-
LDONN_000006700	coding	hypothetical protein, conserved	Ld01_v01s1	48630	49253	-
LDONN_000006800	coding	Low molecular weight phosphotyrosine protein phosphatase, putative	Ld01_v01s1	49945	50856	-
LDONN_000006900	coding	CUE domain/Domain of unknown function (DUF1771)/Smr domain containing protein, putative	Ld01_v01s1	51729	54425	-
LDONN_000007000	coding	cyclophilin 12, putative	Ld01_v01s1	58133	59137	-
LDONN_000007100	coding	hypothetical protein, conserved	Ld01_v01s1	62794	63210	-
LDONN_000007200	coding	DNA excision/repair protein SNF2, putative	Ld01_v01s1	63966	66734	-
